1|1|12|7|1672531200|1675137600|1
2|3|5|11|1675200000|1677806400|1
3|5|19|3|1677868800|1680475200|0
4|7|25|19|1680542400|1683148800|1
5|9|30|15|1683216000|1685822400|1
6|11|3|2|1685889600|1688496000|0
7|13|8|6|1688563200|1691169600|1
8|15|15|10|1691236800|1693843200|0
9|17|21|14|1693910400|1696516800|1
10|19|28|18|1696584000|1699190400|1
11|2|6|4|1709251200|1711857600|0
12|4|11|8|1711924800|1714531200|1
13|6|17|12|1714598400|1717204800|1
14|8|22|16|1717272000|1719878400|0
15|10|29|20|1719945600|1722552000|1
16|12|4|1|1722619200|1725225600|1
17|14|9|5|1725292800|1727899200|0
18|16|16|9|1727966400|1730572800|1
19|18|23|13|1730640000|1733246400|1
20|20|27|17|1733313600|1735920000|0
21|1|2|3|1735987200|1738593600|1
22|3|10|7|1738660800|1741267200|1
23|5|18|11|1741334400|1743940800|0
24|7|24|15|1744008000|1746614400|1
25|9|1|19|1746681600|1749288000|1
26|11|7|2|1749355200|1751961600|0
27|13|14|6|1752028800|1754635200|1
28|15|20|10|1754697600|1757304000|0
29|17|26|14|1757371200|1759977600|1
30|19|30|18|1760044800|1762651200|1
31|2|5|4|1762718400|1765324800|0
32|4|13|8|1765387200|1767993600|1
33|6|19|12|1768056000|1770662400|1
34|8|25|16|1770729600|1773336000|0
35|10|29|20|1773403200|1776009600|1
36|12|3|1|1776076800|1778683200|1
37|14|8|5|1778745600|1781352000|0
38|16|15|9|1781419200|1784025600|1
39|18|22|13|1784092800|1786699200|1
40|20|28|17|1786766400|1789372800|0
41|1|1|3|1789435200|1792041600|1
42|3|11|7|1792108800|1794715200|1
43|5|17|11|1794777600|1797384000|0
44|7|23|15|1797451200|1800057600|1
45|9|27|19|1800124800|1802731200|1
46|11|4|2|1802798400|1805404800|0
47|13|9|6|1805467200|1808073600|1
48|15|16|10|1808136000|1810742400|0
49|17|21|14|1810809600|1813416000|1
50|19|26|18|1813483200|1816089600|1
